icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source,pulled_at
4bb861,PGT92KE ,Turkey,1783318798,1783318798,28.2706,42.0356,11582.4,False,212.46,314.22,0.65,11955.78,3255,False,0,1783318799
4bb861,PGT92KE ,Turkey,1783319100,1783319100,27.709,42.4336,11574.78,False,212.87,313.53,0.0,11925.3,3255,False,0,1783319101
4bb861,PGT92KE ,Turkey,1783319399,1783319399,27.146,42.825,11574.78,False,212.92,313.14,0.0,11910.06,3255,False,0,1783319400
4bb86a,PGT907H ,Turkey,1783318495,1783318495,27.4735,42.1337,11574.78,False,209.8,306.22,0.33,11948.16,3234,False,0,1783318496
4bb879,PGT569J ,Turkey,1783319703,1783319704,28.0186,40.3624,6042.66,False,200.88,35.73,-10.4,6309.36,5147,False,0,1783319704
4bb879,PGT569J ,Turkey,1783320001,1783320001,28.4475,40.6758,3291.84,False,161.1,91.83,-5.2,3451.86,5147,False,0,1783320002
4bb88f,TKJ7BV  ,Turkey,1783318495,1783318495,29.6871,40.3914,5257.8,False,204.42,177.55,9.43,5471.16,,False,0,1783318496
4bbd03,TKJ9ZV  ,Turkey,1783318494,1783318495,27.0936,42.5655,12192.0,False,211.44,307.29,0.0,12565.38,2660,False,0,1783318496
4bbd08,TKJ584  ,Turkey,1783318415,1783318427,37.1711,40.0335,10363.2,False,206.28,260.09,0.0,10843.26,2044,False,0,1783318496
4bbd0f,TKJ3QR  ,Turkey,1783319702,1783319703,29.6079,41.0511,2933.7,False,145.81,342.97,15.28,3063.24,,False,0,1783319704
4bbd0f,TKJ3QR  ,Turkey,1783320001,1783320001,29.4368,41.5006,6096.0,False,190.03,339.06,11.05,6324.6,,False,0,1783320002
4bbd13,TKJ3WS  ,Turkey,1783319703,1783319703,29.5466,41.1269,3581.4,False,170.32,313.29,14.63,3726.18,,False,0,1783319704
4bbd13,TKJ3WS  ,Turkey,1783320001,1783320002,29.0779,41.4647,7208.52,False,198.68,313.53,10.08,7475.22,3202,False,0,1783320002
4bc842,PGT27QB ,Turkey,1783319703,1783319703,27.7968,40.0638,7940.04,False,229.6,32.84,-11.05,8290.56,5145,False,0,1783319704
4bc842,PGT27QB ,Turkey,1783320001,1783320001,28.1954,40.5347,4632.96,False,184.07,33.02,-10.08,4838.7,5145,False,0,1783320002
4bc843,PGT387U ,Turkey,1783319897,1783319899,35.8265,41.0627,6583.68,False,198.42,248.56,11.7,6842.76,,False,0,1783320002
4bc844,PGT92NV ,Turkey,1783320001,1783320001,39.9278,40.0143,9342.12,False,212.04,277.11,8.13,9791.7,1054,False,0,1783320002
4bc848,PGT10RR ,Turkey,1783319094,1783319100,39.7811,40.9961,,True,0.9,267.19,,,,False,0,1783319101
4bc848,PGT10RR ,Turkey,1783319399,1783319399,39.7765,40.9977,,True,5.66,292.5,,,,False,0,1783319400
4bc848,PGT10RR ,Turkey,1783319703,1783319703,39.8991,41.0612,2247.9,False,143.96,299.31,12.68,2324.1,5074,False,0,1783319704
4bc848,PGT10RR ,Turkey,1783320001,1783320001,39.2866,41.082,6537.96,False,187.89,272.04,11.38,6819.9,5074,False,0,1783320002
4bc84e,PGT713L ,Turkey,1783318797,1783318797,37.8118,40.0526,10088.88,False,202.26,278.34,4.88,10568.94,5175,False,0,1783318799
4bc84e,PGT713L ,Turkey,1783319099,1783319099,37.0981,40.1315,10972.8,False,206.69,277.87,0.0,11483.34,5175,False,0,1783319101
4bc84e,PGT713L ,Turkey,1783319247,1783319249,36.7433,40.1689,10972.8,False,207.2,277.85,0.0,11475.72,5175,False,0,1783319400
